datetime,outflow,inflow
2012-12-06,0.1884297517488,2.11834710387072
2012-12-07,0.1884297517488,0.9401652876729599
2012-12-08,0.1884297517488,1.44991735293024
2012-12-09,0.1884297517488,0.22214875995647998
2012-12-10,,
2012-12-11,0.20231404924607999,0.83702479197888
2012-12-12,0.2181818178144,0.43834710669984
2012-12-13,0.2181818178144,0.26380165244832
2012-12-14,0.20429752031712,0.24991735495104
2012-12-15,0.18644628067776,1.0690909072905599
2012-12-16,0.1785123963936,0.19041322281984
2012-12-17,0.1785123963936,1.39636363401216
2012-12-18,0.1785123963936,0.76958677556352
2012-12-19,0.1785123963936,-0.28760330530079997
2012-12-20,0.1785123963936,0.56132231310432
2012-12-21,0.20231404924607999,10.04429750374656
2012-12-22,0.1586776856832,21.42743798044512
2012-12-23,0.0892561981968,38.776859438832
2012-12-24,0.0892561981968,3.8419834646044797
2012-12-25,0.0892561981968,6.50975205515328
2012-12-26,0.0892561981968,5.1371900739936
2012-12-27,0.0892561981968,7.4439669296131195
2012-12-28,0.0892561981968,2.63008264019904
2012-12-29,0.1289256196176,2.12429751708384
2012-12-30,0.1586776856832,1.07900826264576
2012-12-31,0.1586776856832,0.70809917236128
2013-01-01,0.1586776856832,1.8247933853568
2013-01-02,0.1586776856832,0.71008264343232
2013-01-03,0.1586776856832,1.8386776828540798
2013-01-04,0.1586776856832,0.91636363482048
2013-01-05,0.1586776856832,2.00528925282144
2013-01-06,0.13685950390176,1.03537189908288
2013-01-07,0.1190082642624,0.85090908947616
2013-01-08,0.13289256175968,0.86479338697344
2013-01-09,0.14876033032799998,0.70214875914816
2013-01-10,0.17454545425152,0.4066115695632
2013-01-11,0.1884297517488,1.0869421469299199
2013-01-12,0.20033057817504,0.21421487567232
2013-01-13,0.23008264424063998,0.06347107427328
2013-01-14,0.18049586746464,0.20628099138816
2013-01-15,0.1388429749728,0.7973553705580799
2013-01-16,0.1388429749728,0.02380165285248
2013-01-17,0.18247933853568,0.7874380152028799
2013-01-18,0.2380165285248,0.65057851130112
2013-01-19,0.17652892532255998,0.39471074313696
2013-01-20,0.1388429749728,0.19239669389088
