datetime,storage,elevation,outflow,inflow,evap
2000-10-01,659.258,435.01,3.66743801035296,2.19570247564128,0.01785123963936
2000-10-02,658.149,434.89,3.94909090244064,2.84033057372928,0.0
2000-10-03,656.208,434.68,4.61553718231008,2.69157024340128,0.01785123963936
2000-10-04,653.436,434.38,4.0066115635008,1.2515702458262399,0.01785123963936
2000-10-05,651.034,434.12,4.1851239598943994,1.8009917325043199,0.01785123963936
2000-10-06,650.295,434.04,3.71107437391584,2.9890909040572797,0.01785123963936
2000-10-07,647.632,433.75,4.05818181134784,1.4122314025804799,0.01785123963936
2000-10-08,644.331,433.39,4.44495867020064,1.16231404762944,0.01785123963936
2000-10-09,641.671,433.1,3.74082643998144,1.09884297335616,0.01785123963936
2000-10-10,639.024,432.81,3.78446280354432,1.15438016334528,0.01785123963936
2000-10-11,637.204,432.61,3.89157024138048,2.08859503780512,0.01785123963936
2000-10-12,635.11,432.38,3.3560330521996797,1.2793388408208,0.01785123963936
2000-10-13,632.743,432.12,3.3818181761232,1.03338842801184,0.01785123963936
2000-10-14,628.85,431.69,5.240330569687679,1.36462809687552,0.01785123963936
2000-10-15,625.055,431.27,4.72462809121728,0.94809917195712,0.01785123963936
2000-10-16,620.464,430.76,4.84760329762176,0.25586776816416,0.0
2000-10-17,616.071,430.27,4.917024785108159,0.54148760239392,0.01785123963936
2000-10-18,612.049,429.82,4.3438016455776,0.33917355314784,0.01785123963936
2000-10-19,608.401,429.41,4.26247933166496,0.63272727166176,0.01785123963936
2000-10-20,603.96,428.91,4.7801652812064,0.3570247927872,0.01785123963936
2000-10-21,599.46,428.4,5.20264461933792,0.71999999878752,0.01785123963936
2000-10-22,594.705,427.86,4.5143801576870395,0.0,0.01785123963936
2000-10-23,590.504,427.38,4.85355371083488,0.23404958638272,0.01785123963936
2000-10-24,587.005,426.98,4.81586776048512,1.33487603080992,0.01785123963936
2000-10-25,584.749,426.72,4.5421487526816,2.2988429713353598,0.01190082642624
2000-10-26,582.666,426.48,5.25818180932704,3.18743801116128,0.01190082642624
2000-10-27,580.843,426.27,4.47867767840832,2.65586776412256,0.0
2000-10-28,580.236,426.2,4.50644627340288,3.917355365304,0.01785123963936
2000-10-29,581.104,426.3,3.9233057785171197,4.79206610763264,0.0
2000-10-30,580.757,426.26,4.50842974447392,4.16132230704192,0.0
2000-10-31,579.541,426.12,5.31371899931616,4.09785123276864,0.0
2000-11-01,577.898,425.93,4.33190081915136,2.68958677233024,0.0
2000-11-02,577.553,425.89,4.15338842275776,3.83603305139136,0.027768594994559997
2000-11-03,577.295,425.86,3.818181811752,3.5603305725167997,0.0
2000-11-04,576.434,425.76,3.6793388367791997,2.8462809869424,0.027768594994559997
