datetime,SHA_INFLOW_CFS,SHA_OUTFLOW_CFS,SHA_STORAGE_AF,SHA_EVAP_CFS,SHA_TOC STO_AF,SHA_RES ELE_FEET
2000-10-01,3262,5255,2980848,166,,1006.88
2000-10-02,3793,5283,2977473,212,,1006.73
2000-10-03,4437,5246,2975448,212,,1006.64
2000-10-04,3671,5465,2971849,199,,1006.48
2000-10-05,4901,5936,2969599,99,,1006.38
2000-10-06,4262,5425,2966899,198,,1006.26
2000-10-07,4409,5365,2964649,178,,1006.16
2000-10-08,3484,5134,2961049,165,,1006.00
2000-10-09,4500,5138,2959259,264,,1005.92
2000-10-10,6331,4975,2961949,7,,1006.04
2000-10-11,5841,5387,2962849,0,,1006.08
2000-10-12,5340,4659,2964199,0,,1006.14
2000-10-13,6189,4923,2966449,145,,1006.24
2000-10-14,2979,5921,2960378,119,,1005.97
2000-10-15,3915,6080,2955902,92,,1005.77
2000-10-16,5716,6075,2955007,92,,1005.73
2000-10-17,5105,6274,2952546,72,,1005.62
2000-10-18,3767,5945,2948070,79,4168500,1005.42
2000-10-19,4715,5518,2946280,99,4147200,1005.34
2000-10-20,3826,5347,2943147,59,4125900,1005.20
2000-10-21,4336,5670,2940462,20,4104600,1005.08
2000-10-22,4314,4673,2939567,92,4083200,1005.04
2000-10-23,3992,5282,2936891,59,4061900,1004.92
2000-10-24,3680,5278,2933552,85,4040600,1004.77
2000-10-25,4234,4968,2931993,52,4019300,1004.70
2000-10-26,4318,4991,2930658,0,3998000,1004.64
2000-10-27,5122,5288,2930212,59,3976700,1004.62
2000-10-28,6703,4524,2934442,46,3955400,1004.81
2000-10-29,6448,5861,2935555,26,3934100,1004.86
2000-10-30,7327,4720,2940686,20,3912800,1005.09
2000-10-31,5773,5415,2941357,0,3891400,1005.12
2000-11-01,5656,4708,2943147,46,3891400,1005.20
2000-11-02,2070,5033,2937114,79,3870100,1004.93
2000-11-03,3570,5195,2933774,59,3827500,1004.78
2000-11-04,4158,4971,2931993,85,3806200,1004.70
2000-11-05,5884,5237,2933107,85,3784900,1004.75
2000-11-06,4864,5387,2931993,39,3763600,1004.70
2000-11-07,5226,5352,2931548,98,3742300,1004.68
2000-11-08,5088,5458,2930658,79,3721000,1004.64
2000-11-09,5085,5462,2929767,72,3699600,1004.60
2000-11-10,4889,5754,2927986,33,3678300,1004.52
2000-11-11,3398,5267,2924202,39,3657000,1004.35
2000-11-12,4359,5667,2921530,39,3635700,1004.23
2000-11-13,5092,6849,2917968,39,3614400,1004.07
2000-11-14,5032,5586,2916855,7,3593100,1004.02
2000-11-15,5578,5347,2917300,7,3571800,1004.04
2000-11-16,6430,5848,2918414,20,3550500,1004.09
2000-11-17,4291,5268,2916410,33,3529100,1004.00
2000-11-18,3398,5093,2912868,91,3507800,1003.84
2000-11-19,4680,5974,2910211,46,3486500,1003.72
2000-11-20,4236,4532,2909547,39,3465200,1003.69
2000-11-21,4666,5533,2907775,26,3443900,1003.61
2000-11-22,4592,5366,2906226,7,3422600,1003.54
2000-11-23,3145,5680,2901133,33,3401300,1003.31
2000-11-24,3663,5560,2897370,0,3380000,1003.14
2000-11-25,4077,5489,2894491,39,3358700,1003.01
2000-11-26,2500,4467,2890526,32,3337300,1002.83
2000-11-27,4066,5843,2887001,0,3316000,1002.67
2000-11-28,4553,5441,2885239,0,3294700,1002.59
2000-11-29,6045,5431,2886341,58,3273400,1002.64
2000-11-30,5422,5755,2885680,39,3252100,1002.61
2000-12-01,5774,5174,2886781,45,3252100,1002.66
2000-12-02,4931,5238,2886120,26,3252100,1002.63
2000-12-03,5225,5748,2885019,32,3252100,1002.58
2000-12-04,5239,5990,2883477,26,3252100,1002.51
2000-12-05,5740,5238,2884358,58,3252100,1002.55
2000-12-06,5319,5372,2884138,58,3252100,1002.54
2000-12-07,5607,4811,2885680,19,3252100,1002.61
2000-12-08,3918,5885,2881715,32,3252100,1002.43
2000-12-09,3084,5056,2877751,26,3252100,1002.25
2000-12-10,2698,4808,2873566,0,3252100,1002.06
2000-12-11,6006,5654,2874226,19,3252100,1002.09
2000-12-12,5297,4951,2874887,13,3252100,1002.12
2000-12-13,8210,5545,2880173,0,3252100,1002.36
2000-12-14,8120,4110,2887882,123,3252100,1002.71
2000-12-15,7556,3568,2895598,98,3252100,1003.06
2000-12-16,4699,4128,2896705,13,3252100,1003.11
2000-12-17,4620,4488,2896927,20,3252100,1003.12
2000-12-18,5041,4497,2897812,98,3252100,1003.16
2000-12-19,5978,4888,2899805,85,3252100,1003.25
2000-12-20,6162,4691,2902683,20,3252100,1003.38
2000-12-21,4833,5116,2902019,52,3252100,1003.35
2000-12-22,6145,3801,2906668,0,3252100,1003.56
2000-12-23,3922,3673,2907111,26,3252100,1003.58
2000-12-24,2523,3416,2905340,0,3267000,1003.50
2000-12-25,2364,2988,2904012,46,3282000,1003.44
2000-12-26,4096,3421,2905119,117,3296900,1003.49
2000-12-27,5017,3527,2907997,39,3311900,1003.62
2000-12-28,5385,4111,2910432,46,3326800,1003.73
2000-12-29,6198,4708,2913310,39,3341800,1003.86
2000-12-30,4543,4608,2913089,46,3356700,1003.85
2000-12-31,3550,4653,2910875,13,3371600,1003.75
2001-01-01,3617,4832,2908440,78,3386600,1003.64
2001-01-02,3991,4674,2906890,98,3401500,1003.57
2001-01-03,4553,4494,2906890,59,3416500,1003.57
2001-01-04,4655,4058,2907997,39,3431400,1003.62
2001-01-05,4729,4007,2909325,52,3446400,1003.68
2001-01-06,3804,3975,2908882,52,3461300,1003.66
2001-01-07,2311,4064,2905340,59,3476200,1003.50
2001-01-08,6448,4354,2909300,85,3476200,1003.68
2001-01-09,6032,4233,2912868,91,3506100,1003.84
2001-01-10,9758,3464,2925092,131,3521100,1004.39
2001-01-11,9313,3127,2937114,125,3536000,1004.93
2001-01-12,6771,3039,2944490,39,3551000,1005.26
2001-01-13,4930,3086,2948070,39,3565900,1005.42
2001-01-14,5539,4629,2949861,7,3580800,1005.50
2001-01-15,5160,3766,2952546,33,3595800,1005.62
2001-01-16,5146,3620,2955455,59,3610700,1005.75
2001-01-17,5533,4246,2957916,46,3625700,1005.86
2001-01-18,4892,3798,2959930,79,3640600,1005.95
2001-01-19,5636,2984,2965099,46,3655500,1006.18
2001-01-20,4425,4385,2965099,40,3670500,1006.18
2001-01-21,3314,3988,2963749,7,3685400,1006.12
2001-01-22,4320,3967,2964424,13,3700400,1006.15
2001-01-23,5675,3240,2969149,53,3715300,1006.36
2001-01-24,6814,2498,2977473,119,3730300,1006.73
2001-01-25,8179,1917,2989880,7,3745200,1007.28
2001-01-26,7917,2189,3001187,27,3760100,1007.78
2001-01-27,5130,1583,3008208,7,3775100,1008.09
2001-01-28,4137,1556,3013209,60,3790000,1008.31
2001-01-29,6299,2287,3021166,0,3805000,1008.66
2001-01-30,6186,1551,3030266,47,3819900,1009.06
2001-01-31,5096,2487,3035294,74,3834900,1009.28
2001-02-01,6261,2953,3041694,81,3849500,1009.56
2001-02-02,5488,3035,3046493,34,3864500,1009.77
2001-02-03,2429,3107,3045122,13,3879700,1009.71
2001-02-04,3004,3316,3044436,34,3894600,1009.68
2001-02-05,5928,3115,3049922,47,3909600,1009.92
2001-02-06,5452,2951,3054736,74,3924500,1010.13
2001-02-07,5620,3119,3059561,68,3939500,1010.34
2001-02-08,5686,2941,3064845,81,3954400,1010.57
2001-02-09,8164,2485,3076109,0,3969300,1011.06
2001-02-10,5572,449,3086270,0,3984300,1011.50
2001-02-11,7077,553,3099210,0,3997600,1012.06
2001-02-12,7053,499,3112209,0,4009800,1012.62
2001-02-13,6243,502,3123597,0,4023500,1013.11
2001-02-14,7386,1518,3135031,103,4035100,1013.60
2001-02-15,5961,3186,3140398,69,4049400,1013.83
2001-02-16,5466,2283,3146711,0,4064700,1014.10
2001-02-17,6151,2235,3154451,14,4078700,1014.43
2001-02-18,9935,3076,3168056,0,4085000,1015.01
2001-02-19,12904,2890,3187864,28,4085200,1015.85
2001-02-20,23153,535,3232726,0,4060100,1017.74
2001-02-21,34288,0,3300665,36,4016100,1020.57
2001-02-22,24919,313,3349371,50,3993400,1022.58
2001-02-23,16205,72,3381371,0,3990600,1023.89
2001-02-24,14575,637,3408902,58,3991700,1025.01
2001-02-25,13875,0,3436352,36,3994600,1026.12
2001-02-26,12744,799,3459957,44,4000300,1027.07
2001-02-27,10682,0,3480926,110,4011000,1027.91
2001-02-28,9514,1819,3495969,111,4024500,1028.51
2001-03-01,8908,939,3511542,118,4039300,1029.13
2001-03-02,10738,1062,3530704,15,4039300,1029.89
2001-03-03,7849,1852,3542600,0,4039300,1030.36
2001-03-04,17961,1410,3575370,30,4059100,1031.65
2001-03-05,24558,0,3624022,30,4034500,1033.55
2001-03-06,15738,0,3655239,0,4033700,1034.76
2001-03-07,13325,0,3681441,115,4039500,1035.77
2001-03-08,13601,0,3708297,61,4044600,1036.80
2001-03-09,12985,492,3732925,77,4051600,1037.74
2001-03-10,11038,2974,3748705,108,4063900,1038.34
2001-03-11,8922,2514,3761092,163,4082200,1038.81
2001-03-12,8087,4629,3767689,132,4102500,1039.06
2001-03-13,8903,4088,3776961,140,4120300,1039.41
2001-03-14,8209,4856,3783319,148,4139900,1039.65
2001-03-15,8651,5337,3789676,109,4158000,1039.89
2001-03-16,7432,5069,3794178,93,4158000,1040.06
2001-03-17,7499,4179,3800531,117,4200500,1040.30
2001-03-18,6888,4385,3805296,101,4223200,1040.48
2001-03-19,8522,4401,3813237,117,4240500,1040.78
2001-03-20,9976,3964,3824913,125,4253100,1041.22
2001-03-21,8464,3707,3834224,63,4273800,1041.57
2001-03-22,9661,2524,3848068,157,4290600,1042.09
2001-03-23,12309,3440,3865441,110,4299000,1042.74
2001-03-24,8278,3652,3874539,39,4320200,1043.08
2001-03-25,9279,3337,3886088,119,4338100,1043.51
2001-03-26,10952,2734,3902216,87,4350600,1044.11
2001-03-27,9259,3426,3913550,119,4368400,1044.53
2001-03-28,8696,2863,3924883,119,4387900,1044.95
2001-03-29,9360,3930,3935180,239,4405100,1045.33
2001-03-30,9429,3946,3945755,152,4405100,1045.72
2001-03-31,9710,4414,3955799,184,4405100,1046.09
2001-04-01,7005,3952,3961521,168,4462000,1046.30
2001-04-02,7929,4544,3967788,225,4482900,1046.53
2001-04-03,8066,5603,3972420,128,4503100,1046.70
2001-04-04,8215,5631,3977324,112,4522500,1046.88
2001-04-05,7118,5704,3979777,177,4522500,1046.97
2001-04-06,9626,5765,3987164,137,4552100,1047.24
2001-04-07,7669,5875,3990723,0,4552100,1047.37
2001-04-08,7064,5563,3993460,121,4552100,1047.47
2001-04-09,6279,5289,3995377,24,4552100,1047.54
2001-04-10,6123,5792,3995650,193,4552100,1047.55
2001-04-11,6010,5459,3996472,137,4552100,1047.58
2001-04-12,7244,6847,3997019,121,4552100,1047.60
2001-04-13,7209,5156,4000852,121,4552100,1047.74
2001-04-14,5915,5826,4000852,89,4552100,1047.74
2001-04-15,6432,5711,4001947,169,4552100,1047.78
2001-04-16,6959,5458,4004684,121,4552100,1047.88
2001-04-17,6866,5852,4006327,186,4552100,1047.94
2001-04-18,8642,5310,4012920,8,4552100,1048.18
2001-04-19,7653,5778,4016495,73,4552100,1048.31
2001-04-20,8382,5878,4021446,316,4552100,1048.49
2001-04-21,6069,5524,4022271,129,4552100,1048.52
2001-04-22,5432,5842,4020896,283,4552100,1048.47
2001-04-23,6131,3912,4025297,348,4552100,1048.63
2001-04-24,6744,8165,4021996,348,4552100,1048.51
2001-04-25,6190,6739,4020346,283,4552100,1048.45
2001-04-26,7238,6644,4021171,178,4552100,1048.48
2001-04-27,6629,6688,4020621,218,4552100,1048.46
2001-04-28,7265,7446,4019796,235,4552100,1048.43
2001-04-29,7487,7008,4020346,202,4552100,1048.45
2001-04-30,7856,7874,4020071,121,4552100,1048.44
2001-05-01,6981,7726,4018145,226,4552100,1048.37
2001-05-02,5875,7965,4013470,267,4552100,1048.20
2001-05-03,7179,8047,4011269,242,4552100,1048.12
2001-05-04,7623,7944,4010169,234,4552100,1048.08
2001-05-05,5790,7436,4006327,291,4552100,1047.94
2001-05-06,5472,7674,4001399,282,4552100,1047.76
2001-05-07,7110,8800,3997567,242,4552100,1047.62
2001-05-08,6816,8045,3994555,290,4552100,1047.51
2001-05-09,7267,8259,3992092,250,4552100,1047.42
2001-05-10,7809,8225,3990723,274,4552100,1047.37
2001-05-11,6176,8809,3984974,265,4552100,1047.16
2001-05-12,4469,8869,3975690,281,4552100,1046.82
2001-05-13,5424,8910,3968060,361,4552100,1046.54
2001-05-14,6976,9499,3962339,184,4552100,1046.33
2001-05-15,6486,10745,3953892,0,4552100,1046.02
2001-05-16,6326,10462,3945213,248,4552100,1045.70
2001-05-17,6983,10001,3938705,263,4552100,1045.46
2001-05-18,6755,10657,3930570,199,4552100,1045.16
2001-05-19,5093,10459,3919216,358,4552100,1044.74
2001-05-20,4069,10729,3905454,278,4552100,1044.23
2001-05-21,6594,10999,3896025,349,4552100,1043.88
2001-05-22,6740,9769,3889311,356,4552100,1043.63
2001-05-23,12196,9943,3881300,237,4552100,1043.77
2001-05-24,5814,10133,3872123,284,4552100,1042.99
2001-05-25,4901,8414,3864639,260,4552100,1042.71
2001-05-26,3267,10172,3850474,236,4552100,1042.18
2001-05-27,3311,11324,3833958,314,4552100,1041.56
2001-05-28,3518,10353,3819858,274,4552100,1041.03
2001-05-29,4728,10249,3808472,226,4552100,1040.60
2001-05-30,4982,11437,3794972,351,4552100,1040.09
2001-05-31,4660,10594,3782524,342,4552100,1039.62
2001-06-01,4509,9306,3772193,411,4552100,1039.23
2001-06-02,3089,9799,3758193,348,4552100,1038.70
2001-06-03,2495,12055,3738695,270,4552000,1037.96
2001-06-04,4376,10025,3727155,169,4552000,1037.52
2001-06-05,5652,10532,3716927,277,4552000,1037.13
2001-06-06,4638,11554,3702815,199,4552000,1036.59
2001-06-07,4454,12627,3686376,115,4552000,1035.96
2001-06-08,5730,12203,3672870,336,4552000,1035.44
2001-06-09,2379,12505,3652137,327,4552000,1034.64
2001-06-10,2327,12995,3630452,265,4552000,1033.80
2001-06-11,5151,12942,3614505,249,4552000,1033.18
2001-06-12,5202,13496,3597591,233,4552000,1032.52
2001-06-13,4381,13532,3578935,255,4552000,1031.79
2001-06-14,4677,13115,3561619,292,4552000,1031.11
2001-06-15,4887,12306,3546401,253,4552000,1030.51
2001-06-16,3444,12938,3526922,327,4552000,1029.74
2001-06-17,2602,12836,3506006,311,4552000,1028.91
2001-06-18,5346,14227,3487689,354,4552000,1028.18
2001-06-19,4832,12827,3471191,323,4552000,1027.52
2001-06-20,4820,12662,3454981,330,4552000,1026.87
2001-06-21,5043,13459,3437594,350,4552000,1026.17
2001-06-22,5094,14226,3418789,349,4552000,1025.41
2001-06-23,2517,13128,3397096,326,4552000,1024.53
2001-06-24,2892,12926,3376477,361,4552000,1023.69
2001-06-25,4541,12822,3359595,230,4552000,1023.00
2001-06-26,5493,12923,3344745,57,4552000,1022.39
2001-06-27,7323,13209,3333071,0,4552000,1021.91
2001-06-28,5631,12047,3320232,57,4552000,1021.38
2001-06-29,4938,12524,3304762,213,4552000,1020.74
2001-06-30,2944,13628,3283078,248,4552000,1019.84
2001-07-01,2798,13361,3261665,233,4552000,1018.95
2001-07-02,5067,13136,3245145,260,4552100,1018.26
2001-07-03,5304,11626,3231773,420,4552100,1017.70
2001-07-04,4803,12264,3216765,105,4552100,1017.07
2001-07-05,5503,12727,3202064,188,4552100,1016.45
2001-07-06,4761,13853,3183383,326,4552100,1015.66
2001-07-07,3097,13658,3161956,242,4552100,1014.75
2001-07-08,2826,13468,3140398,227,4552100,1013.83
2001-07-09,3698,13299,3121030,164,4552100,1013.00
2001-07-10,4736,13240,3103620,273,4552100,1012.25
2001-07-11,2766,11137,3086732,143,4552100,1011.52
2001-07-12,4328,13021,3068980,257,4552100,1010.75
2001-07-13,5169,13959,3051064,243,4552100,1009.97
2001-07-14,3968,13988,3030723,235,4552100,1009.08
2001-07-15,3060,13982,3008663,234,4552100,1008.11
2001-07-16,4760,13462,2990784,312,4552100,1007.32
2001-07-17,4397,13152,2972973,225,4552100,1006.53
2001-07-18,3127,12074,2954783,224,4552100,1005.72
2001-07-19,4712,13140,2937559,256,4552100,1004.95
2001-07-20,4829,12953,2920862,294,4552100,1004.20
2001-07-21,2224,12915,2899141,260,4552100,1003.22
2001-07-22,1507,12973,2875988,207,4552100,1002.17
2001-07-23,4523,13156,2858441,213,4552100,1001.37
2001-07-24,4304,11274,2844016,302,4552100,1000.71
2001-07-25,5610,15087,2824636,294,4552100,999.82
2001-07-26,5349,13298,2808352,261,4552100,999.07
2001-07-27,4444,13609,2789556,311,4552100,998.20
2001-07-28,3233,13848,2767838,334,4552100,997.19
2001-07-29,1594,12479,2745813,219,4552100,996.16
2001-07-30,4768,12102,2730708,281,4552100,995.45
2001-07-31,4862,11947,2716074,293,4552100,994.76
2001-08-01,4734,11223,2702760,223,4552100,994.13
2001-08-02,4502,11238,2688663,371,4552100,993.46
2001-08-03,5474,11442,2676276,277,4552100,992.87
2001-08-04,3598,10483,2662061,282,4552100,992.19
2001-08-05,1581,10842,2643328,183,4552100,991.29
2001-08-06,4318,10150,2631303,231,4552100,990.71
2001-08-07,4359,10739,2618276,188,4552100,990.08
2001-08-08,4428,10654,2605518,206,4552100,989.46
2001-08-09,3402,9034,2593809,271,4552100,988.89
2001-08-10,3980,10029,2581334,240,4552100,988.28
2001-08-11,3595,9483,2569131,264,4552100,987.68
2001-08-12,2163,9924,2553335,203,4552100,986.90
2001-08-13,3584,9350,2541546,178,4552100,986.32
2001-08-14,5981,10843,2531421,243,4552100,985.82
2001-08-15,6265,10382,2522772,243,4552100,985.39
2001-08-16,3966,9008,2512327,224,4552100,984.87
2001-08-17,3896,8169,2503326,265,4552100,984.42
2001-08-18,2047,8196,2490746,193,4552100,983.79
2001-08-19,1555,7745,2478015,228,4552100,983.15
2001-08-20,7651,11421,2470086,227,4552100,982.75
2001-08-21,3875,7190,2463163,175,4552100,982.40
2001-08-22,4179,6997,2457229,174,4552100,982.10
2001-08-23,4031,6627,2451907,87,4552100,981.83
2001-08-24,3676,6775,2445415,174,4552100,981.50
2001-08-25,2395,7575,2434797,173,4552100,980.96
2001-08-26,2410,8340,2422669,184,4552100,980.34
2001-08-27,3407,7419,2414266,224,4552100,979.91
2001-08-28,3718,6996,2407252,258,4552100,979.55
2001-08-29,4629,6716,2402771,172,4552100,979.32
2001-08-30,3808,7068,2395761,274,4552100,978.96
2001-08-31,4299,7316,2389562,108,4552100,978.64
2001-09-01,2973,6859,2381425,216,4552100,978.22
2001-09-02,2438,6931,2372155,181,4552100,977.74
2001-09-03,2577,7052,2362908,187,4552100,977.26
2001-09-04,3644,7517,2354836,197,4552100,976.84
2001-09-05,4081,7206,2348324,158,4552100,976.50
2001-09-06,3675,7194,2340854,247,4552100,976.11
2001-09-07,4102,6465,2335890,140,4552100,975.85
2001-09-08,3515,6568,2329224,308,4552100,975.50
2001-09-09,1027,6532,2317807,251,4552100,974.90
2001-09-10,3782,6136,2312883,128,4552100,974.64
2001-09-11,3803,5438,2309475,83,4552100,974.46
2001-09-12,3678,5386,2305877,106,4552100,974.27
2001-09-13,4193,5895,2302280,111,4552100,974.08
2001-09-14,3976,5891,2298317,83,4552100,973.87
2001-09-15,3679,6741,2291915,166,4552100,973.53
2001-09-16,3743,6363,2286455,133,4552100,973.24
2001-09-17,3298,6660,2279502,143,4552100,972.87
2001-09-18,3245,6200,2273324,160,4552100,972.54
2001-09-19,3128,6750,2265835,154,4552100,972.14
2001-09-20,3209,7149,2257630,197,4552100,971.70
2001-09-21,3277,7148,2249626,164,4552100,971.27
2001-09-22,2791,6676,2241639,142,4552100,970.84
2001-09-23,2980,6581,2234236,131,4552100,970.44
2001-09-24,3853,6582,2228499,163,4552100,970.13
2001-09-25,4153,6665,2223333,92,4552100,969.85
2001-09-26,3336,6234,2217445,70,4552100,969.53
2001-09-27,2893,5339,2212476,59,4552100,969.26
2001-09-28,3012,5087,2208060,151,4552100,969.02
2001-09-29,3011,5259,2203302,151,4552100,968.76
2001-09-30,3485,5152,2199643,178,4552100,968.56
2001-10-01,3130,5074,2195436,177,4552100,968.33
2001-10-02,3573,4556,2193241,124,4552100,968.21
2001-10-03,3613,5015,2190131,166,4552100,968.04
2001-10-04,2350,4951,2180850,150,4552100,967.53
2001-10-05,3715,4115,2179759,150,4445500,967.47
2001-10-06,2858,3879,2177576,80,4381600,967.35
2001-10-07,2851,3505,2176121,80,4381600,967.27
2001-10-08,3110,3397,2175393,80,4381600,967.23
2001-10-09,3043,2974,2175212,160,4381600,967.22
2001-10-10,3514,3661,2174666,128,4381600,967.19
2001-10-11,3152,3407,2173938,112,4381600,967.15
2001-10-12,3422,3094,2174302,144,4381600,967.17
2001-10-13,3573,2759,2175757,80,4381600,967.25
2001-10-14,2731,2872,2175212,134,4381600,967.22
2001-10-15,3729,3100,2176121,171,4381600,967.27
2001-10-16,3091,2736,2176667,80,4381600,967.30
2001-10-17,3531,3257,2177030,91,4381600,967.32
2001-10-18,3614,3394,2177212,128,4381600,967.33
2001-10-19,3091,3383,2176303,166,4381600,967.28
2001-10-20,2967,3346,2175393,80,4381600,967.23
2001-10-21,2653,3307,2173938,80,4381600,967.15
2001-10-22,3402,3414,2173756,80,4381600,967.14
2001-10-23,3586,3414,2173938,80,4381600,967.15
2001-10-24,3306,3685,2172847,171,4381600,967.09
2001-10-25,3523,3794,2172119,96,4381600,967.05
2001-10-26,3595,3655,2171756,123,4381600,967.03
2001-10-27,2642,2918,2171029,91,4381600,966.99
2001-10-28,2406,3398,2169040,11,4381600,966.88
2001-10-29,4554,5181,2167774,11,4381600,966.81
2001-10-30,5880,5269,2168859,64,4381600,966.87
2001-10-31,4260,5113,2167051,59,4381600,966.77
2001-11-01,3881,5431,2163977,0,4381600,966.60
2001-11-02,3739,5638,2160179,16,4381600,966.39
2001-11-03,3594,5396,2156563,21,4381600,966.19
2001-11-04,3746,4813,2154393,27,4381600,966.07
2001-11-05,3935,4750,2152767,5,4381600,965.98
2001-11-06,4390,4838,2151869,5,4381600,965.93
2001-11-07,3968,4768,2150251,16,4381600,965.84
2001-11-08,3678,5102,2147374,26,4381600,965.68
2001-11-09,3266,5415,2143060,26,4381600,965.44
2001-11-10,2755,4995,2138566,26,4381600,965.19
2001-11-11,4506,4778,2138026,0,4381600,965.16
2001-11-12,10249,4811,2148813,0,3635700,965.76
2001-11-13,8414,4325,2156924,0,3635700,966.21
2001-11-14,6117,4476,2160179,0,3635700,966.39
2001-11-15,5235,4323,2161988,0,3635700,966.49
2001-11-16,5628,3987,2165243,0,3635700,966.67
2001-11-17,4994,3991,2167232,0,3635700,966.78
2001-11-18,4435,3888,2168317,0,3635700,966.84
2001-11-19,4750,4385,2169040,0,3635700,966.88
2001-11-20,5005,4458,2170125,0,3635700,966.94
2001-11-21,12727,3927,2187580,0,3635700,967.90
2001-11-22,14638,3292,2210084,0,3635700,969.13
2001-11-23,8373,3456,2219837,0,3635700,969.66
2001-11-24,10486,3973,2232756,0,3635700,970.36
2001-11-25,7627,3149,2241639,0,3358700,970.84
2001-11-26,6486,3586,2247392,0,3358700,971.15
2001-11-27,5994,3929,2251487,0,3358700,971.37
2001-11-28,8432,3740,2260794,0,3358700,971.87
2001-11-29,9538,3410,2272949,0,3358700,972.52
2001-11-30,9207,3442,2284384,0,3358700,973.13
2001-12-01,25317,2710,2329224,0,3358700,975.50
2001-12-02,30618,2835,2384331,0,3252100,978.37
2001-12-03,21236,2401,2421691,0,3252100,980.29
2001-12-04,12568,3781,2439120,0,3252100,981.18
2001-12-05,15928,2909,2464943,0,3252100,982.49
2001-12-06,16353,3444,2490548,0,3252100,983.78
2001-12-07,12248,3659,2507527,29,3252100,984.63
2001-12-08,10611,3152,2522169,77,3252100,985.36
2001-12-09,8705,3421,2532627,12,3252100,985.88
2001-12-10,8819,3364,2543375,36,3252100,986.41
2001-12-11,8003,3349,2552522,42,3252100,986.86
2001-12-12,7323,3601,2559821,42,3252100,987.22
2001-12-13,9263,3621,2570952,30,3252100,987.77
2001-12-14,9736,3574,2583174,0,3252100,988.37
2001-12-15,7607,3173,2591969,0,3252100,988.80
2001-12-16,8088,3434,2601200,0,3252100,989.25
2001-12-17,8260,3180,2611276,0,3252100,989.74
2001-12-18,10342,3269,2625306,0,3252100,990.42
2001-12-19,15354,2180,2651436,0,3252100,991.68
2001-12-20,18520,2083,2684039,0,3252100,993.24
2001-12-21,14158,351,2711425,0,3252100,994.54
2001-12-22,18767,245,2748163,0,3252100,996.27
2001-12-23,18691,0,2785237,0,3252100,998.00
2001-12-24,13391,424,2810957,0,3252100,999.19
2001-12-25,11242,727,2831813,0,3252100,1000.15
2001-12-26,9837,939,2849463,0,3252100,1000.96
2001-12-27,10620,902,2868739,0,3252100,1001.84
2001-12-28,12828,734,2892728,0,3252100,1002.93
2001-12-29,14553,1603,2918414,0,3252100,1004.09
2001-12-30,16765,1249,2949189,0,3325500,1005.47
2001-12-31,19682,991,2986262,0,3325500,1007.12
2002-01-01,19402,659,3023439,0,3325500,1008.76
2002-01-02,56705,2798,3130364,0,3325500,1013.40
2002-01-03,38098,10298,3185506,0,3325500,1015.75
2002-01-04,23759,9796,3213201,0,3325500,1016.92
2002-01-05,20468,6657,3240596,0,3325500,1018.07
2002-01-06,21070,7296,3267916,0,3349500,1019.21
2002-01-07,21118,8252,3293435,0,3349500,1020.27
2002-01-08,20273,7618,3318536,0,3349500,1021.31
2002-01-09,18166,9002,3336712,0,3349500,1022.06
2002-01-10,15899,8535,3351318,0,3349500,1022.66
2002-01-11,14111,7087,3365222,14,3349500,1023.23
2002-01-12,14900,6991,3380881,14,3349500,1023.87
2002-01-13,9858,6752,3387013,14,3349500,1024.12
2002-01-14,12243,6539,3398326,0,3412000,1024.58
2002-01-15,11973,5769,3410632,0,3412000,1025.08
2002-01-16,11135,5154,3422496,0,3412000,1025.56
2002-01-17,9176,4815,3431147,0,3412000,1025.91
2002-01-18,9194,5023,3439332,44,3412000,1026.24
2002-01-19,9128,4900,3447529,95,3412000,1026.57
2002-01-20,8071,4470,3454484,95,3412000,1026.85
2002-01-21,8991,4973,3462454,0,3504700,1027.17
2002-01-22,9057,5030,3470442,0,3504700,1027.49
2002-01-23,6971,4328,3475684,0,3504700,1027.70
2002-01-24,6073,3556,3480677,0,3504700,1027.90
2002-01-25,5819,3549,3485180,0,3504700,1028.08
2002-01-26,7472,3485,3492958,66,3504700,1028.39
2002-01-27,7567,3549,3500737,96,3504700,1028.70
2002-01-28,5745,3974,3504249,0,3604000,1028.84
2002-01-29,6012,3563,3509020,44,3604000,1029.03
2002-01-30,5837,3676,3513307,0,3604000,1029.20
2002-01-31,5323,3670,3516585,0,3604000,1029.33
2002-02-01,6345,3339,3522384,82,3604000,1029.56
2002-02-02,6293,3593,3527679,30,3604000,1029.77
2002-02-03,5776,3697,3531713,45,3604000,1029.93
2002-02-04,5210,3772,3534492,37,3732600,1030.04
2002-02-05,5422,3627,3538039,7,3732600,1030.18
2002-02-06,4905,3876,3540066,7,3732600,1030.26
2002-02-07,9350,3669,3551216,60,3732600,1030.70
2002-02-08,10569,3505,3565184,22,3732600,1031.25
2002-02-09,8704,2391,3577662,22,3732600,1031.74
2002-02-10,7822,3674,3585563,165,3732600,1032.05
2002-02-11,7657,3331,3594008,68,3732600,1032.38
2002-02-12,6507,3631,3599638,38,3858100,1032.60
2002-02-13,6951,3544,3606036,181,3858100,1032.85
2002-02-14,7280,3697,3612962,91,3858100,1033.12
2002-02-15,7506,3609,3620421,136,3858100,1033.41
2002-02-16,7902,3470,3629166,23,3858100,1033.75
2002-02-17,7199,3368,3636630,68,3858100,1034.04
